Confusion Matrix:

		|	Predicted_Pos	|	Predicted_Neg	|
Actual_Pos	|	TP = 431	|	FN = 0  	|
Actual_Neg	|	FP = 2  	|	TN = 696	|

Result of prediction

Actual	Predicted
1	1
0	0
0	0
1	1
0	0
0	0
1	1
0	0
1	1
0	0
0	0
1	1
1	1
0	0
1	1
0	0
1	1
0	0
0	0
0	0
0	0
1	1
0	0
0	0
0	0
1	1
0	0
0	0
0	0
0	0
0	0
1	1
0	0
0	0
0	0
0	0
0	0
0	0
1	1
0	0
1	1
0	0
0	0
1	1
0	0
0	0
1	1
1	1
1	1
0	0
0	0
0	0
1	1
0	0
1	1
0	0
1	1
0	0
0	0
1	1
0	0
1	1
0	0
0	0
1	1
1	1
1	1
0	0
1	1
0	0
0	0
1	1
0	0
1	1
0	0
1	1
0	0
0	0
0	0
1	1
0	0
1	1
0	0
0	0
0	0
0	0
0	0
1	1
0	0
1	1
1	1
1	1
1	1
0	0
0	0
0	0
0	0
1	1
1	1
0	0
0	0
0	0
1	1
0	0
0	0
1	1
0	0
0	0
1	1
1	1
0	0
0	0
0	0
1	1
0	0
0	0
0	0
1	1
1	1
0	0
0	0
0	0
1	1
0	0
1	1
0	0
1	1
1	1
1	1
0	0
0	0
1	1
0	0
0	0
1	1
0	0
0	0
1	1
0	0
0	0
0	0
0	0
1	1
0	0
1	1
0	0
0	0
1	1
1	1
0	0
0	0
0	0
1	1
0	0
0	0
0	0
1	1
0	0
0	0
0	0
1	1
0	0
0	0
1	1
1	1
1	1
1	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	1
0	0
0	0
1	1
0	0
0	0
0	0
0	0
0	0
1	1
0	0
1	1
0	0
1	1
0	0
0	0
0	0
1	1
0	0
1	1
0	0
0	0
0	0
0	0
0	0
1	1
0	0
0	0
1	1
1	1
0	0
0	0
1	1
0	0
0	0
1	1
0	0
0	0
1	1
0	0
0	0
0	0
0	0
0	0
0	0
1	1
1	1
0	0
0	0
0	0
1	1
0	0
1	1
1	1
0	0
1	1
1	1
0	0
0	0
0	0
1	1
1	1
0	0
0	0
1	1
0	0
0	0
0	0
0	0
1	1
0	0
0	1
0	0
0	0
1	1
0	0
0	0
0	0
1	1
0	0
1	1
0	0
0	0
0	0
0	0
0	0
1	1
0	0
0	0
0	0
0	0
1	1
0	0
1	1
0	0
0	0
1	1
1	1
1	1
1	1
0	0
0	0
1	1
1	1
0	0
0	0
1	1
0	0
0	0
1	1
0	0
1	1
0	0
1	1
1	1
0	0
0	0
0	0
0	0
1	1
0	0
0	0
0	0
0	0
1	1
1	1
0	0
1	1
0	0
1	1
1	1
1	1
0	0
1	1
0	0
0	0
1	1
0	0
0	0
0	0
0	0
0	0
0	0
1	1
0	0
1	1
1	1
0	0
1	1
1	1
1	1
0	0
0	0
0	0
0	0
0	0
0	0
1	1
1	1
0	0
0	0
0	0
1	1
1	1
0	0
0	0
0	0
0	0
0	0
1	1
1	1
0	0
0	0
1	1
0	0
0	0
1	1
1	1
1	1
1	1
0	0
0	0
1	1
0	0
0	0
0	0
1	1
0	0
1	1
0	0
0	0
1	1
1	1
0	0
0	0
1	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	1
1	1
1	1
1	1
0	0
0	0
1	1
1	1
0	0
0	0
0	0
0	0
1	1
0	0
0	0
1	1
0	0
0	0
0	0
1	1
0	0
0	0
0	0
0	0
0	0
1	1
1	1
0	0
1	1
0	0
1	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	1
0	0
0	0
1	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	1
1	1
0	0
1	1
0	0
0	0
0	0
1	1
0	0
1	1
0	0
1	1
0	0
1	1
1	1
0	0
0	0
1	1
0	0
0	0
0	0
0	0
0	0
1	1
1	1
1	1
0	0
1	1
0	0
0	0
0	0
1	1
1	1
0	0
0	0
0	0
1	1
1	1
1	1
0	0
1	1
0	0
0	0
0	0
0	0
1	1
0	0
0	0
0	0
1	1
0	0
0	0
0	0
0	0
1	1
1	1
0	0
1	1
0	0
1	1
0	0
0	0
1	1
1	1
0	0
0	0
1	1
1	1
0	0
0	0
0	0
0	0
0	0
1	1
1	1
1	1
0	0
1	1
0	0
0	0
0	0
0	0
1	1
0	0
0	0
0	0
0	0
1	1
1	1
0	0
0	0
1	1
1	1
0	0
0	0
0	0
0	0
1	1
1	1
0	0
0	0
0	0
0	0
0	0
1	1
0	0
1	1
0	0
0	0
0	0
0	0
1	1
1	1
